Instance,Income
111994,32465.72703
111995,11002.75483
111996,23470.38349
111997,106530.895
111998,28609.36634
111999,92805.24227
112000,100113.8907
112001,56053.78988
112002,34951.62293
112003,104964.6146
112004,10197.66896
112005,194403.3033
112006,61001.1091
112007,106673.1276
112008,246421.7219
112009,73573.93806
112010,39228.25298
112011,26459.66787
112012,19283.2557
112013,14466.6216
112014,122239.7111
112015,49212.28188
112016,48228.39689
112017,25500.57617
112018,135440.7946
112019,44527.91852
112020,35187.00439
112021,26774.02621
112022,85137.61559
112023,57380.62878
112024,26497.66443
112025,70884.33854
112026,41220.91334
112027,60812.11249
112028,38063.23568
112029,42988.27566
112030,193270.5081
112031,190249.5574
112032,268624.2353
112033,113356.5808
112034,209071.9208
112035,107439.9998
112036,182287.2187
112037,140186.317
112038,175803.307
112039,51267.76537
112040,74524.7281
112041,66638.84727
112042,38846.23504
112043,53209.50634
112044,44197.82235
112045,14327.06495
112046,245620.4537
112047,29714.08129
112048,23809.83662
112049,88067.31527
112050,43610.97347
112051,69974.70051
112052,117184.3701
112053,166344.0694
112054,87399.75174
112055,26644.10764
112056,96539.84775
112057,25766.57477
112058,24228.69639
112059,37801.24918
112060,338793.4571
112061,137226.7906
112062,202557.5288
112063,64988.29397
112064,23334.55202
112065,62237.65447
112066,4865.454845
112067,102660.2164
112068,49575.30274
112069,241038.0301
112070,296173.4417
112071,44177.83468
112072,69740.56649
112073,41776.42081
112074,24192.94388
112075,15074.98234
112076,140890.8036
112077,1113849.077
112078,6143.183257
112079,162934.8531
112080,86326.95829
112081,866362.6417
112082,39345.50102
112083,36272.72469
112084,16260.66388
112085,39278.52122
112086,33834.91644
112087,193350.6598
112088,142303.4423
112089,45855.90166
112090,165760.7389
112091,40436.69706
112092,32371.25029
112093,79187.08173
112094,33627.91236
112095,46498.44708
112096,112507.0816
112097,17967.73124
112098,32592.79997
112099,30596.61959
112100,39689.68882
112101,163881.5525
112102,32753.80799
112103,136690.3825
112104,68667.26558
112105,48324.20933
112106,80357.17431
112107,120858.0377
112108,55560.08524
112109,27428.37533
112110,45097.96059
112111,30662.69366
112112,95115.96956
112113,75290.85968
112114,77417.46203
112115,16823.17533
112116,34211.25081
